Story Code,Annotator #1 Code,Annotator #2 Code,Story Title,Plot Summary,Content warnings,Author Code,Second author code (if applicable),Investigation-reveal order,Reveal border sentence,Name of Detective #1,Detective #1 Gender,Detective #1 Role,Name of Detective #2,Detective #2 Gender,Detective #2 Role,Number of detectives if more than 2,Name of Assistant #1,Assistant #1 Gender,Assistant #1 Role,Name of Assistant #2,Assistant #2 Gender,Assistant #2 Role,Number of assistants if more than 2,Number of victims of gender Male,Number of victims of gender Female,Number of victims of gender Non-binary,Number of victims of gender Unknown,Number of victims who are corporate entities,Number of culprits of gender Male,Number of culprits of gender Female,Number of culprits of gender Non-binary,Number of culprits of gender Unknown,Culprits introduced during reveal?,Main culprit independence,Initiator of investigation,Role of police,Focus on crime or quasi-crime,Crime trajectory,Occurrence of crime or mystery,Types of qrimes,Motives,Means (murder only),Sufficient clues to guess?,Sufficient clues to solve?,Correct annotator guess?,Types of clues,Essential clue,Type of essential clue,Most salient clue,Type of most salient clue,Red herring description,Type of red herring,Presence of planted or fabricated evidence,Types of evidence made available,Is the crime solved?,Decision NOT to alert authorities?,Satisfying narrative account?,How satisfying as detective fiction?,Recommend to friend?,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book
MSH01,SO,WW,Silver Blaze,A prized racehorse: missing! Trainer: murdered! Sherlock Holmes: investigates!,,ACD,,Standard,"Sherlock Holmes laughed. “I assure you that I have not associated you with the crime, Colonel,” said he. “The real murderer is standing immediately behind you.” He stepped past and laid his hand upon the glossy neck of the thoroughbred.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,3,0,0,0,0,2,0,0,0,No,Acts mostly alone with some assistance,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,Before the investigation,"Suspected murder, Theft, Fraud, Mischief, Assault",Greed,Natural causes,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","the cataract knife (trainer's knife used for surgery, not self defense).",Physical clue,The cataract knife.,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,Yes,1892-12,Journal,The Strand
MSH02,SO,WW,The Yellow Face,Mr. Grant Munro approaches Sherlock Holmes to investigate a mysterious yellow face in the windows of a neighboring cottage and the face's entanglement with Munro's wife. Blackmail?! Infidelity?! Is this case as ugly as it seems?,,ACD,,Standard,"“I will tell you the meaning of it,” cried the lady, sweeping into the room with a proud, set face",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,0,0,0,0,0,0,0,0,0,No,,A private client,Police are not present,_none,Qrime → no qrime,"Before the investigation, During the investigation",Blackmail,"Pride, Love",,No,No,No,"Legible but not usable (legible → not usable), Usable only in retrospect (legible → usable), Red herring (usable → legible)",_none,_none,The description of the rigid and immobile face.,Testimonial clue,Photograph of wife in the cottage,Testimonial clue,,Testimonial evidence,No,No,Yes,2,Yes,1893-02,Journal,The Strand
MSH03,SO,WW,The Stock-Broker's Clerk,"A clerk is about to start a new job but is instead offered an absurdly lucrative alternative at a shady new corporation. After a few days of copying addresses and names from a directory, he approaches Holmes to get to the bottom of his employer's plans.",,ACD,,Standard,“Oh surely if you consider the events at first they can only point to one conclusion.”,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,2,0,0,0,1,2,0,0,0,Yes,Acts together with one or more equal partners,A private client,Police are not present,Crime,No qrime → qrime,"Before the investigation, During the investigation","Murder, Theft, Fraud, Forgery",Greed,Blunt force trauma,Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The handwriting samples demanded by the clerk's new employer,Testimonial clue,The clerk's new employer tells the clerk not to resign his original job.,Testimonial clue,,,,Testimonial evidence,Yes,No,Yes,3,No,1893-03,Journal,The Strand
ASH10,SK,JM,The Adventure of the Noble Bachelor ,"After a marriage with one of the wealthiest bachelors in England is suddenly broken off with the bride's disappearance on the day of the wedding, Holmes delves into the case, using his detective skills to make sense of a jealous lover, a fallen bouquet, and a possible unknown history. ",,ACD,,Standard,"“Then I'll tell our story right away,” said the lady.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,1,0,0,0,0,1,1,0,0,Yes,Acts together with one or more equal partners,A private client,Police are present and contribute significantly to solving the crime,Quasi-crime,Qrime → different qrime,Before the investigation,"Suspected murder, Fraud",Love,,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The allusion to claim-jumping by Francis Moulton which references taking possession of something that another person has prior claim to. ,Testimonial clue,Mrs. Moulton's changed attitude after dropping the bouquet,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,1892-04,Journal,The Strand
ASH11,SK,JM,The Adventure of the Beryl Coronet,"With a squandering son and the disappearance of an entrusted national treasure, Mr. Holder comes to Holmes confidently with the truth behind this case of thievery. However, in true Holmes fashion, we soon find out that Mr. Holder's conclusion could not be further from the truth.",,ACD,,Standard,"I will do so, and I will show you the steps by which I reached it.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,2,0,0,0,0,1,1,0,0,Yes,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Theft, Assault","Greed, Love",,Yes,No,No,"Illegible and never usable (illegible → never usable) Legible but not usable (legible → not usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",Footprints in the snow,Physical clue,How the culprit Mary suddenly closes the window after Mr. Holder appears ,Testimonial clue,Holmes' constant questions regarding the maid's lover who isn't involved in this case at all. ,Testimonial clue,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,No,1892-05,Journal,The Strand
ASH12,SK,JM,The Adventure of the Copper Beeches,"After being offered a well-paid but strange position as a governess, Violet Hunter comes to Holmes seeking his advice. The job requires Violet Hunter to cut her hair and dress in particular colors, but the profound absurdism of this case proves to only be the surface.",,ACD,,Standard,"If there's police-court business over this, you'll remember that I was the one that stood your friend, and that I was Miss Alice's friend too.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,0,1,0,0,0,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,No qrime → qrime,"Before the investigation, During the investigation","Fraud, Kidnapping",Greed,,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The hair discovered in the drawer ,Physical clue,The hair discovered in the drawer ,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,5,Yes,1892-06,Journal,The Strand
ASH07,ZC,CC,The Adventure of the Blue Carbuncle,"Questions demand to be answered when the Blue Carbuncle, a precious gemstone that was stolen from the Countess of Morcar, is mysteriously discovered inside of goose intended to be cooked for a Christmas dinner. Detective Sherlock Holmes investigates the case, in hopes of finding answers to this peculiar mystery. ",,ACD,,Standard,A flush sprang to the white cheeks of the stranger.,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,1,1,0,0,0,1,1,0,0,No,Acts mostly alone with some assistance,A private client,Police are not present,Crime,Qrime → different qrime,Before the investigation,"Theft, Assault",Greed,,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",Ryder yelling at the shop-owner in pursuit of his missing goose,Testimonial clue,The discovery of the goose supplier from the wager with Mr. Breckinridge ,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,5,Yes,1892-01,Journal,The Strand
ASH08,ZC,CC,The Adventure of the Speckled Band,"A woman seeks answers pertaining to the unusual death of her sister before her wedding day. With exotic animals on the loose and little to no details, Sherlock Holmes and Watson seek answers to this murder!",racism,ACD,,Standard,“The band! the speckled band!” whispered Holmes.,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,0,2,0,0,0,1,0,0,0,No,Acts alone,A private client,Police are not present,Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Assault",Greed,"Poison, Indirectly, by an elaborate device",No,No,No,"Illegible and never usable (illegible → never usable) Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The chair in the stepfather's room with the lash under it,Physical clue,The will of the deceased wife (the allowance of the daughters),Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,1892-02,Journal,The Strand
ASH09,ZC,CC,The Adventure of the Engineer's Thumb,"After a series of disastrous events beginning with a well-paying job offer and ending with foul play, a hydraulic engineer is left missing a thumb. Sherlock Holmes and Watson are tasked with finding the culprits of this digital dismemberment.",,ACD,,Other,,Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,2,0,0,0,0,2,1,0,0,,Acts together with one or more equal partners,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Murder, Assault, Forgery, Kidnapping",Greed,"Indirectly, by an elaborate device",No,No,No,"Illegible and never usable (illegible → never usable) Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The testimony provided by Victor Hatherley (the hydraulic engineer) when recounting his experience,Testimonial clue,"The unusual stated use of the hydraulic press (i.e., being utilized indoors and for excavating fuller's-earth)",Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,1892-03,Journal,The Strand
ASH02,ZC,CC,The Red-Headed League,"A local businessman was prompted by his assistant to  join “The Red-headed League”, which leads to an elaborate series of events involving a robbery. Will the culprits be caught? And what does this organization want with him?",,ACD,,Standard,"“John Clay, the murderer, thief, smasher, and forger.",Sherlock Holmes,Male,Independent amateur,,,,,John Watson,Male,Independent amateur,,,,,1,0,0,0,1,2,0,0,0,Yes,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,No qrime → qrime,"Before the investigation, After the investigation","Theft, Fraud, Breaking and entering",Greed,,No,No,No,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The assistant's dirty trouser knees,Physical clue,The use of the cellar by the assistant,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,1891-08,Journal,The Strand
