Author Code,Surname(s),Given Name(s),Sex,Date of Birth (YYYY-MM-DD),Country of Birth,City/Town of Birth,Date of Death (YYYY-MM-DD),Country of Death,City/Town of Death,Nationality/ies,VIAF
ACD,Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/
AM,Morrison,Arthur,M,1863-11-01,England,London,1945-12-04,England,Chalfont St. Peter,"British, English",https://viaf.org/viaf/27069152/
CKP,Pirkis,Catherine Louisa,F,1839-10-06,England,London,1910-10-04,England,London,"British, English",https://viaf.org/viaf/77779811/
MPS,Shiell,Matthew Phipps,M,1865-07-21,Montserrat,,1947-02-17,Chichester,England,"Caribbean, British",https://viaf.org/viaf/54194618/
BO,Orczy,Emma,F,1865-09-23,Hungary,Tarnaörs,1947-11-12,Henley-on-Thames,England,"Hungarian, British",https://viaf.org/viaf/39382131/
AF,Freeman,Austin,M,1862-04-11,England,London,1943-09-28,England,Gravesend,"British, English",https://viaf.org/viaf/125144814461944904157/
EB,Bramah,Ernest,M,1868-03-20,England,Manchester,1942-06-27,England,London,"British, English",https://viaf.org/viaf/76564127/
EWH,Hornung,Ernest William,M,1866-06-07,England,Cleveland Villas,1922-03-22,France,Saint-Jean-de-Luz,"British, English",https://viaf.org/viaf/71409962/
JF,Futrelle,Jacques,M,1875-04-09,United States of America,"Pike County, Georgia",1912-04-15,Atlantic Ocean,RMS Titanic,American,https://viaf.org/viaf/9880305/
LMF,Futrelle,Lily May,F,1876-05-26,United States of America,"Atlanta, Georgia",1967-10-29,United States of America,"Scituate, Massachusetts",American,http://viaf.org/viaf/58699029/
JEPM,Muddock,J. E. Preston,M,1843-04-28,England,Southampton,1934-01-23,England,London,"British, English",https://viaf.org/viaf/26949841/
GA,Allen,Grant,M,1848-02-24,Canada,Kingston,1899-10-25,England,"Hindhead, Haslemere","Canadian, British, English",https://viaf.org/viaf/48393117/
ABR,Reeve,Arthur B.,M,1880-10-15,United States of America,"Brooklyn, New York",1936-08-09,United States of America,"Trenton, New Jersey",American,https://viaf.org/viaf/73002380/
AKG,Green,Anna Katherine,F,1846-11-11,United States of America,"Brooklyn, New York",1935-04-11,United States of America,"Buffalo, New York",American,https://viaf.org/viaf/69054865/
VW,Whitechurch,Victor,M,1868-03-12,England,"Norham, Northumberland",1933-05-25,England,"Buxton, Debyshire","British, English",https://viaf.org/viaf/76448216/
IZ,Zangwill,Israel,M,1864-01-21,England,London,1926-08-01,England,"Midhurst, West Sussex","British, English",https://viaf.org/viaf/56617927/
RB,Barr,Robert,M,1849-09-16,Scotland,Glasgow,1912-10-21,England,"Woldingham, Surrey","British, Scottish",https://viaf.org/viaf/122140022/
MDP,Post,Melville Davisson,M,1869-04-19,United States of America,"Harrison County, West Virginia",1930-06-23,United States of America,"Harrison County, West Virginia",,https://viaf.org/viaf/129012558/
TWH,Hanshew,Thomas W.,M,1857,United States of America,"Brooklyn, New York",1914-03-03,England,London,American,https://viaf.org/viaf/24320742/
WHH,Hodgson,William Hope,M,1877-12-15,England,"Blackmore End, Essex",1918-04-19,Belgium,Ypres salient,"British, English",https://viaf.org/viaf/24602763/
